光学字符识别	OCR
不连贯	incoherence\tinconsequent
不连贯地	incoherently\tinconsequently
不连贯的	incoherent
不适	unwell\tmalaise
不适合	unfit\tunsuited
不适合工作	Not Safe For Work\tNot Suitable For Work
不适合的	unfitted
不适宜	unapt
不适当	inapt\tunmeet
不适用	inapplicable
不适航	unseaworthy
不透射线的	radiopaque
不透明	opacity\tnontransparent
不透明地	opaquely
不透明性	opaqueness
不透明的	opaque
不透热性	athermancy
不通风的	airless
不道德	unethical
不道德的	immoral
不遵守	nonobservance\tnoncompliance
不重要	unimportance\tinconsequential
不重要地	inconsequentially
不重要的	unimportant
不锈钢	stainless
不间断	uninterrupted
不间断地	uninterruptedly
不间断电源	UPS
不间断的	unremitting
不雅	inelegant\tindelicate
不雅的	uncomely\tgraceless
不需要	unwanted\tunneeded
不领情	unappreciative\tinappreciative
不饱和	unsaturated
与	with
与会者	conferee
与格	dative
与此	therewith
与此同时	meanwhile
与生俱来的权利	birthright
与非	nand
丑化	uglify
丑恶的	seamy
丑角	harlequin
丑闻	scandal
丑陋	ugly\tugliness
专业	majors\tspecialty
专业人士	professionals
专业地	professionally
专业的	specialized\tprofessional
专业精神	professionalism
专利	patent
专利人	patenter\tpatentor
专利权人	patentee
专制	autarchy\tdespotism
专制主义	absolutism
专制主义者	absolutist
专制地	despotically\tautocratically
专制政体	autocracies
专制的	despotic\tautocratic
专员	commissioner
专家	mavin\tmaven
专攻	specialise\tspecialize
专有	proprietary
专有性	exclusivity
专栏作家	columnist
专横	bossy\tdomineer
专横地	imperiously\tperemptorily
专横的	imperious\tperemptory
专注	intentness\tattentiveness
专注写作	OmmWriter
专注地	raptly\tintently
专注的	rapt\tfocused
专著	monograph
专著作者	monographer
专著的	monographic
专长	expertise\tspecialism
专门	exclusively
专题论文	disquisition
世仇	feud\tvendetta
世仇者	feudist
世代	generations
世代交替	metagenesis
世俗	laic\tworldly
世俗主义	laicism\tsecularism
世俗主义者	secularist
世俗化	secularise\tsecularization
世俗性	secularity
世嘉	sega
世界	world\tmonde
世界主义者	cosmopolitain
世界冠军	worldbeater
世界大战	World War
世界币	Worldcoin
世界性	worldsex
世界性的	cosmopolitan
世界政治的	cosmopolitical
世界景画	cosmorama
世界猫	WorldCat
世界语	esperanto
世界都市	cosmopolis
世系	stirps\tancestry
世纪	century\tcenturies
世贸组织	WTO
丘吉尔	Churchill
丘吉尔式的	Churchillian
丘比特	Cupid
丘疹	papula
丘脑	thalamus
丘鹬	woodcock
丙基	propyl
丙烯	propylene
丙烯酸	acrylic
丙烷	propane
丙酮	acetone
业	karma
业主	proprietor
业余	amature\tamatuer
业余主义	amateurism
业余爱好者	dilettante
业余的	amateurish
业余者	amateurs
丛	plex\tplexus
丛放大器	plexamp
丛林	jungle
丛林人	bushman
丛林战	bushfighting
丛林般的	jungly
东	east
东京	Tokyo\ttonkin
东北	northeast
东北的	northeastern
东北风	northeaster
东南	southeast
东南向	southeasterly\tsoutheastward
东南部	southeastern
东南风	southeaster
东哥特人	ostrogoth
东德马克	ostmark
东方	Orient
东方人	Orientals
东方化	orientalise\tOrientalize
东方的	easterly\tOriental
东盟	ASEAN
东芝	Toshiba
东行	easting
东西	stuff\tthing
东部人	easterner
东部的	eastern
丝光处理	mercerise\tmercerize
丝兰	yucca
丝印	serigraph
丝印术	serigraphy
丝带	ribbon
丝心蛋白	fibroin
丝毫	whit\tscintilla
丝氨酸	ser
丝滑	silky\tsericeous
丝滑地	silkily
丝滑的	flossy
丝滑霜	Silkine
丝状的	filamentous\tfilamentary
丝的	filar
丝绒	velure\tvelours
丝绸	silk
丝般	silken
丢勒	Durer
丢勒作品	Durers
丢失	Lost
丢弃	discard
丢弃的	discarded
丢番图的	Diophantine
丢脸	discreditable
两	tael
两便士	twopence
两便士的	twopenny
两倍	twifold
两党的	biparty\tbipartisan
两周	fortnight
两头政治	diarchy
两年一次的	biennial
两年期	biennium
两性的	amphoteric
两性离子	zwitterion
两月的	bimestrial
两栖动物	amphibian
两栖地	amphibiously
两栖登陆车	amtrac
两栖的	amphibious
两栖部队	amphibioustroops
两次	twice
两者	both
两耳草	knotgrass
两脚架	bipod
两足动物	biped
两足的	bipedal
两部分的	bipartite
两院制	bicameral
严	yan
严厉	harsh\tsternness
严厉地	sternly\troundly
严厉批评	excoriate\texcoriation
严厉的	stern\tscathing
严峻	grimness
严峻的	grim
严格	rigor\tstrict
严格地	strictly\tstraitly
严格性	strictness
严格的	rigorous
严格管制	regimentation
严格管制的	regimented
严格者	martinet
严肃	serious
严肃的	derious
严肃者	sobersides
严谨	rigour\tpunctilious
严谨者	precisian
严酷	rigors\tharshness
严酷的	Draconian
严重	severity\tgraveness
严重地	badly\tgravely
严重性	severities\tseriousness
严重的	grave\tsevere
丧亲	beravement\tbereavement
丧亲者	bereaved
丧偶的	widowed
丧失	bereft
丧钟	knell
个人	personal\tindividual
个人主义	privatism\tindividualism
个人主义的	individualistic
个人主义者	individualist
个人广告	personals
个人电脑	PC
个人电脑存储卡	PCMCIA
个体化	individuation
个体发生	ontogenesis
个体发育	ontogeny
个性	personality\tpersonalities
个性化	pn\tpersonalize
个性化的	individualized
个案工作	casework
中	mid
中世纪	medieval
中产阶级	bourgeoisie
中介	intermediary\tintermediation
中位数	median
中兴	ZTE
中午	noon
中卫	halfback
中号	midi
中和	neutralize\tneutralise
中和中	neutralizing
中国	CN\tSino-
中国中央电视台	CCTV\tChina Central Television
中国人	Chinese\tChinaman
中国民航	CAAC
中国狗	chowchow
中国篮球协会	Chinese Basketball Association
中国银行	cnb
中场	midfield
中士	sergeant\tsargeant
中大陆	midcontinent
中央地	centrally
中央处理器	cpu\tCPU
中央的	central
中央邦	Madhya
中央集权	centralism
中央集权者	centralist
中子	neutron
中尉	lieutenant
中尉职位	lieutenancy
中小企业	SMB
中山	Nakayama
中年	middleaged
中庭	atrium
中微子	neutrino
中心	center\tcentro
中心性	centrality
中心线	centerline\tcentreline
中心装饰	centerpiece
中性	neuter\tunisex
中情局	CIA\tcia
中提琴	viola
中提琴手	violist
中文	chinese
中断	breaks\thiatus
中断性	interruptive
中断的	disrupted
中新世	Miocene
中暑	sunstroke\theatstroke
中期	metaphase
中村	Nakamura
中桅	topmast
中档	midscale\tmidrange
中止	abort\tabeyance
中止中	aborting
中段	midsection
中殿	nave
中毒	poisoned\tpoisoning
中流	midstream
中点	middot\tmidpoint
中生代	Mesozoic
中石器时代	Mesolithic
中立	neutral\tneutrality
中立主义	neutralism
中立主义者	neutralist
中立地	neutrally
中立性	neutralities
中立议员	crossbencher
中等的	middling
中篇小说	novella
中纬度	midlatitude
中线	midline
中继	relay
中继中	relaying
中继器	relays
中缀	infix
中背的	middorsal
中胚层体型	mesomorph
中胚层的	mesomorphic
中脉	midrib
中脑	midbrain
中腿	midleg
中行	BOC
中西部	Midwest
中西部人	Midwesterner
中西部的	Midwestern
中途	midway\thalfway
中途停留	stopover
中铁杆	midiron
中间	midst\tmiddle
中间人	MitM\tbagman
中间件	middleware
中间体	intermediates
中间层	mesosphere
中间性格	ambivert
中间派	centrist
中间的	medial\tintermediate
中队	squadron
中音	alto\tAltos
中音号	althorn
中风	stroke\tapoplexy
中风的	apoplectic
丰塔纳	Fontana
丰富	galore\tenrich
丰富地	richly\tcopiously
丰富的	profuse\tcopious
丰满	plim\tplump
丰满地	plumply
丰满的	busty\tbuxom
丰田	Toyota
丰硕	fruitfulness
丰饶的	cornucopian
丰饶角	cornucopia
串扰	crosstalk
串接	stringing
串珠	beading
串珠的	beaded
串联	tandem
串行接口	SATA
串酒吧	Barhop
临床	clinical\tclinically
临床医生	clinician
临时	nonce\tinterim
临时凭证	scrip
临时工	temp\ttemporaries
临时性	provisionality
临时方案	kludge
临时的	temporary\tprovisional
临终	deathbed
临终关怀	hospice
临街面	frontage
丸状的	pilular
丹	dan\tDan
丹伯里	Danbury
丹佛	Denver
丹妮尔	danielle
丹尼	Danny\tDenny
丹尼什	denish
丹尼尔	Daniel
丹尼尔斯	Daniels
丹尼尔森	Danielson
丹尼斯	denis\tDennis
丹毒	erysipelas
丹维尔	Danville
丹麦	Denmark
丹麦人	Dane
丹麦化	Danize\tDanization
丹麦法区	danelaw
丹麦的	Danish
丹麦语	dansk
丹麦金	danegeld
为了	for
为什么	why
为何	why'd\twherefore
为何将	why'll
为何已	why've
为何是	why's
主	dom
主义	ism
主人	host\tmaster
主修	majored\tmajoring
主力	workhorse
主动性	initiative
主动的	proactive
主动脉	aorta
主动脉的	aortic
主厨	chef
主妇	goodwife\thomemaker
主妇的	housewifely
主妇般的	matronly
主导地	dominantly
主导地位	predomination
主导的	dominant
主帆	mainsail
主帆索	mainsheet
主席	chairmen\tchairman
主席团	presidium
主席职位	chairmanship
主引导记录	MBR\tmaster boot record
主张	asserts\tassertion
主张者	asserters
主持	hosted\tchaired
主持人	emcee\tlinkman
主持的	presiding
主控程序	MCP
主教	exarch\tbishop
主教制	prelacy\tepiscopacy
主教区	exarchate
主教座	cathedra
主教的	episcopal
主教辖区	bishopric
主日的	dominical
主显节	Epiphany
主机	mainframe
主机名	hostname
主权	sovereignty
主板	motherboard
主根	taproot
主格	nominative\tnominatival
主桅	mainmast
主桅顶楼	maintop
主流	mainstream
主演	starring
主电源	mains
主祷文	paternoster
主管	supervisor\tsuperintendent
主线	mainline
主线使用者	mainliner
主菜	entree
主要	mainly\tprincipal
主要地	mostly\tlargely
主要的	main\tmajor
主观主义	subjectivism
主观地	subjectively
主观性	subjectivity
主观的	subjective
主角	protagonist
主讲人	keynoter
主轴	headstock
主页	homepage
主题	topic\ttheme
主题演讲	keynote
主题的	themed\tthematic
丽兹	Ritz
丽塔	rita
丽莎	Lisa
丽蝇	blowfly
丽贝卡	Rebecca
举止	comport\tdemeanor
举起	heave\tupraise
举起的	upraised
举重	lifting
举重者	heaver\tlifter
久坐的	sedentary
义不容辞的	bounden
义务	obligation
义务论	deontology
义警	vigilantes
之后	after\tafterward
之字形	zig
之字形路	switchback
之间	between
乌克兰	Ukraine
乌克兰人	Ukrainians
乌克兰的	Ukrainian
乌兰	Ulan
乌兹冲锋枪	Uzi
乌兹别克斯坦	uzbekistan
乌合之众	rabble\triffraff
乌头	aconite
乌尔苏拉会的	Ursuline
乌尔都语	Urdu
乌干达	Uganda
乌得勒支	Utrecht
乌托邦	utopia
乌托邦主义	utopianism
乌托邦主义者	utopians
乌托邦化	Utopianize
乌托邦的	Utopian
乌拉圭	Uruguay
乌拉圭人	Uruguayan
乌拉圭的	Uruguay'a
乌拉尼亚	Urania
乌木	ebony\tcalamander
乌玛	uma
乌班图	ubuntu
乌瓦乌姆	uvauum
乌苏拉	Ursula
乌诺	uno
乌里	Uri
乌鸦	crow\traven
乌鸦座	Corvus
乌鸦的	corvine
乌鸫	ouzel
乌龙茶	oolong
乍得	Chad
乏味	vapid\ttedium
乏味事物	yawner
乏味地	tediously
乏味的	stodgy\tjejune
乐于助人的	obliging
乐天	Lotte
乐威壮	levitra
乐意	fain\twillingly
乐意地	lief\tgladly
乐手	sideman
乐观	optimism
乐观主义	bonism
乐观地	optimistically
乐观的	upbeat\tsanguine
乐观者	optimist
乐购	tesco
乐趣	fun\tjoys
乐透	lotto
乐队	band
乐队成员	bandsman
乐队指挥	bandmaster
乐队领队	bandleader
乐高	lego
乒	ping
乔	jo\tJo
乔乔	JoJo
乔伊斯	Joyce
乔伊波伊	Joy Boy
乔克	chogh
乔克托	Choctaw
乔克托人	Choctaws
乔利埃特	Joliet
乔叟	Chaucer
乔姆斯基	Chomsky
乔安妮	Joanne
乔安娜	Joanna
乔尔	Joel
乔布雷尔	Jobrel
乔康达	Gioconda
乔恩	jon\tJon
乔斯	Joes
乔普林	Joplin
乔木	arbor
乔治	georg\tGeorge
乔治城	Georgetown
乔治系统	giorgisystem
乔瓦尼	Giovanni
乔纳斯	Jonas
乔纳森	Jonathan
乔纳森化	Jonathanization
乔达摩	Gautama
乔迪	Jody
乖戾	surliness\tperversity
乖戾地	surlily
乖戾的	surly
乘	multiply\tmultiplies
乘以	multiplied
乘出租车	taxied
乘务员	steward
乘务长	purser
乘坐	rides
乘客	pax\tpassenger
乘数	multiplier
乘法	multiplication
乘法器	multiplicator
乘法的	multiplicative
乘用马	palfrey
乙二醇	glycol
乙炔	acetylene
乙炔灯	acetylenelamp
乙烯	ethylene
乙烯基	vinyl
乙烷	ethane
乙状结肠镜	sigmoidoscope
乙缩醛	acetal
乙酰胆碱	acetylcholine
乙酰苯胺	acetanilide
乙醇	ethanol
九	nine
九人团	ennead
九倍	ninefold
九十	ninety
九十多岁	nonogenarian
九十岁老人	nonagenarian
九十年代	nineties
九日祈祷	novena
九月	sep\tsep.
九柱戏	skittle
九边形	nonagon\tenneagon
九进制	nonary
九重奏	nonet
九重葛	bougainvillaea
九龙	Kowloon
乞丐	beggar\tmendicant
乞力马扎罗	Kilimanjaro
乞求	beg\tbegged
乞讨	cadge\tbumming
也	also
也不	nor\tneither
也许	maybe\tperhaps
也门	Yemen
习	xi
习俗	mores\tfolkway
习性	habitude
习惯	wont\thabit
习惯化	habituation
习惯性	habitualness
习惯性地	habitually
习惯性的	habitual
习惯的	inured\taccustomed
习气	mannerism
习语	idiom
乡巴佬	hick\tRube
乡愁	homesickness
乡村	rural\tcountryside
乡村主义	ruralism
乡村主义者	ruralist
乡村化	ruralise\truralize
乡村地	rurally\trustically
乡村性	rurality
乡村的	rustic\tstrustic
乡村青年	swain
乡村风味	rusticity
乡绅	squire
书	book
书信	epistle
书信体的	epistolary
书信集	epistles
书包	satchel\tschoolbag
书呆子	nerd\tbookish
书商	bookseller
书套	slipcase
书店	bookshop\tbookstore
书挡	bookend
书架	bookshelf\tbookcases
书柜	bookcase
书法	penmanship\tcalligraphy
书法家	penman\tcalligrapher
书法的	calligraphic
书目	bibliography\tbibliographies
书目的	bibliographic\tbibliographical
书签	bookmark
书签器	bookmarker
书籍	books
书籍知识	booklore
书虫	bookworm
书贩	colporteur
买	buy
买办	compradore
买卖圣职	simony
买卖圣职的	simoniacal
买卖圣职者	simoniac
买家	buyer
买方	vendee
乱伦	insest\tincest
乱伦的	incestuous
乱射	potshot
乱扔	littering
乱扔垃圾者	litterbug
乱穿者	jaywalker
乱穿马路	jaywalk
乳光	opalescence
乳光的	opalescent
乳制品	dairy
乳剂	emulsion
乳化	emulsify\temulsification
乳化的	emulsive
乳品厂	creamery
乳头	tit\tteat
乳房	udder
乳房切除术	mastectomy
乳房的	mammary
乳晕	areola
乳比重计	lactometer
乳液	lotion
乳清	whey
乳状	milkiness
乳状的	lacteous
乳白的	milky
乳突	mastoid
乳突炎	mastoiditis
乳糖	lactose
乳糜的	lacteal
乳脂	butterfat
乳脂状	creaminess
乳脂状的	creamy
乳腺炎	mastitis
乳草	milkweed\tsilkweed
乳蛋饼	quiche
乳酸的	lactic
乳酸菌	lactobacillus
乳霜	creme
乳香	mastic\tfrankincense
乳齿象	mastodon
争吵	flite\tbicker
争吵中	squabbling
争吵了	bickered
争吵过	squabbled
争夺	scrambles\tscrambling
争执	tiff
争议	dispute\tcontroversy
争论	argue\tpolemic
争论中	arguing\tdisputing
争论的	eristic
争论着	argues
争论者	arguer\tdisputer
争论过	argued
事业	undertaking
事件	event\taffair
事务	affairs
事后想法	afterthought
事实	fact\tfactum
事实上	facto\tfactually
事实主义	factualism
事实的	factual
事情	matter
事故	accident
事物	things
事由	casus
事项	res\tmatters
二	di\tii
二人组	duo
二价	divalent
二价的	bivalent
二倍体	diploid
二元	dyad
二元性	duality\tdualities
二元的	binary\tdyadic
二元论	dualism
二元论者	dualist
二分	dichotomize
二分法	dichotomy
二分的	dichotomous
二十	twenty
二十一点	blackjack
二十多岁	twenties
二十面体	icosahedra\ticosahedron
二十面体的	icosahedral
二叠纪	Permian
二嗪	diazine
二噁英	dioxin
二头的	bicipital
二头肌	bicep
二尖瓣	mitral
二形的	biform
二律背反	antinomy
二态性	dimorphism
二战	WWII\tWorld War II
二手	secondhand\tsecond-hand
二月	feb.\tFebruary
二极管	diode
二次	quadratic\tquadratical
